"Species","Unique","Indicator","synonyms"
"Naineris dendritica","S1",NA,"Anthostoma dendriticum, Nainereis hespera, Nainereis nannobranchia, Naineris longa, Naineris robustus"
"Girella nigricans","S1","S1","Camarina nigricans"
"Pagurus hirsutiusculus","S1","S1","Bernhardus hirsutiusculus, Eupagurus hirsutiusculus"
"Canis lupus","S1",NA,NA
"Tetraclita rubescens","S1",NA,"Tetraclita squamosa rubescens"
"Chthamalus fissus","S1",NA,"Chthamalus microtretus"
"Nucella emarginata","S1",NA,"Purpura emarginata, Thais emarginata"
"Neoamphitrite robusta","S1",NA,"Amphitrite robusta, Scionides dux"
"Ectopleura marina","S1",NA,"Pinauay marina, Tubularia marina"
"Gallus gallus","S1",NA,NA
"Lophopanopeus bellus","S1",NA,"Xantho bella, Xantho hemphilliana, Xanthodes Hemphillii"
"Traskorchestia traskiana","S1",NA,"Orchestia traskiana"
"Knoutsodonta jannae","S1",NA,""
"Plocamionida tylotata","S1",NA,"Plocamionida ambigua f. tylotata"
"Proceraea nigropunctata","S1",NA,""
"Felis silvestris","S1",NA,NA
"Coelopa vanduzeei","S1",NA,NA
"Oligocottus maculosus","S1",NA,""
"Aporrectodea caliginosa","S1",NA,NA
"Rhodotorula mucilaginosa","S1",NA,"Torula mucilaginosa"
"Hermissenda crassicornis","S1",NA,"Cavolina crassicornis, Phidiana crassicornis"
"Nitzschia traheaformis","S1",NA,""
"Myriogloea simplex","S1",NA,"Tinocladia simplex"
"Megaselia rufipes","S1",NA,NA
"Rhopalosiphum insertum","S1",NA,NA
"Eudistoma psammion","S1",NA,"Archidistoma psammion"
"Ampithoe sectimanus","S1",NA,NA
"Clytia gregaria","S1",NA,"Clytia osterudi, Oceania gregaria, Phialidium gregarium"
"Carcinonemertes errans","S1",NA,"Carcinonemertes errantia"
"Limacia cockerelli","S1",NA,"Laila cockerelli"
"Doris montereyensis","S1",NA,"Archidoris montereyensis"
"Dactylosiphon bullosus","S1",NA,"Colpomenia bullosa, Colpomenia sinuosa f. deformans, Scytosiphon bullosus"
"Dendronotus subramosus","S1",NA,""
"Hemigrapsus nudus","S1",NA,"Grapsus marmoratus, Heterograpsus marmoratus, Heterograpsus nudus, Pseudograpsus nudus"
"Neoporphyra perforata","S1",NA,NA
"Stenogramma californicum","S1",NA,""
"Biecheleria cincta","S1",NA,"Woloszynskia cincta"
"Aporrectodea trapezoides","S1",NA,NA
"Acanthodoris rhodoceras","S1",NA,""
"Mopalia ferreirai","S1",NA,""
"Halichondria coerulea","S1",NA,""
"Vexillifera kereti","S1",NA,NA
"Neoporphyra haitanensis","S1",NA,""
"Orienthella trilineata","S1",NA,""
"Leucocryptos marina","S1",NA,"Bodo marinus, Chilomonas marina"
"Ceratostoma foliatum","S1",NA,"Murex foliatus, Murex monodon, Purpura alata, Purpura foliata, Triplex pinnata"
"Callophyllis schneideri","S1",NA,""
"Eurydice longiantennata","S1",NA,""
"Rhodophysema lundii","S2","S2","Halosacciocolax kjellmanii, Halosacciocolax lundii, Rhodophysema kjellmanii"
"Bossiella orbigniana","S2",NA,"Amphiroa orbigniana, Amphiroa tuberculosa f. orbigniana, Bossea orbigniana, Cheilosporum orbignianum, Pachyarthron orbignianum"
"Bossiella montereyensis","S2",NA,""
"Mycale acerata","S2",NA,""
"Syllis elongata CMC02","S2",NA,NA
"Mycedium robokaki","S2",NA,""
"Rhodymenia californica","S2",NA,"Rhodymenia attenuata, Rhodymenia californica var. attenuata"
"Nienburgia andersoniana","S2",NA,"Heteronema andersoniana, Neuroglossum andersoniana"
"Egregia menziesii","S2",NA,"Egregia laevigata, Egregia laevigata f. borealis, Egregia laevigata subsp. borealis, Egregia menziesii subsp. insularis, Egregia planifolia, Fucus menziesii, Macrocystis menziesii, Phyllospora menziesii"
"Ahnfeltia fastigiata","S2",NA,"Chondrus fastigiatus, Gigartina fastigiata"
"Paraphrosylus praedator","S2",NA,NA
"Prorocentrum minimum","S2",NA,""
"Tanystylum californicum","S2",NA,"Tanystylum intermedium"
"Schistomeringos longicornis","S2",NA,"Dorvillea (Schistomeringos) longicornis, Stauronereis articulatus, Stauronereis longicornis"
"Symphyocladiella rosea","S2",NA,"Symphyocladia rosea"
"Myxicola aesthetica","S2",NA,"Amphicorina argus, Leptochone aesthetica, Myxicola dinardensis, Myxicola glacialis"
"Rostanga pulchra","S2",NA,""
"Mitrocoma cellularia","S2",NA,"Earleria cellularia, Foersteria cellularia, Halistaura cellularia, Laodicea cellularia, Thaumantias cellularia"
"Callithamnion rupicola","S2",NA,""
"Brada villosa CMC02","S2",NA,NA
"Discorsopagurus schmitti","S2",NA,"Orthopagurus schmitti, Phylopagurus schmitti, Pylopagurus schmitti"
"Dendraster excentricus","S2",NA,"Dendraster excentricus elongatus, Dendraster excentricus var. elongatus, Echinarachinus excentricus, Echinarachnius (Dendraster) excentricus, Echinarachnius excentricus, Scutella excentrica"
"Campanularia volubilis","S2",NA,"Campanularia cylindrica, Campanularia urceolata, Clytia volubilis, Sertularia uniflora, Sertularia volubilis"
"Mopalia spectabilis","S2",NA,""
"Chaetoceros tenuissimus","S2",NA,""
"Pandalus danae","S2",NA,"Pandalus franciscorum"
"Ammothea hilgendorfi","S2",NA,"Ammothea marginatum, Ammothea ovatus, Ammothea ovatus, Corniger hilgendorfi"
"Cucumaria piperata","S2",NA,"Cladodactyla (Polyclados) nigricans, Cucumaria fisheri, Cucumaria nigricans, Pentacta piperata"
"Calocalanus tenuis","S2",NA,"Dolichocera tenuis, Dolichocerea tenuis, Ischnocalanus tenuis, Mecynocera tenuis"
"Pinnixa franciscana","S2",NA,""
"Bothragonus swanii","S2",NA,"Bothragonus swani, Hypsagonus swanii"
"Ozophora clevelandii","S2",NA,"Ozophora californica, Phyllophora californica, Phyllophora clevelandii"
"Kellia suborbicularis","S2",NA,"Bornia inflata, Erycina (Kellia) biocculta, Erycina (Kellia) proxima, Erycina biocculta, Erycina pisum, Erycina proxima, Kellia cailliaudii, Kellia rotundata, Montacuta gouldi, Mya suborbicularis, Oronthea montaguana, Tellimya lactea, Tellimya suborbicularis, Tellimya tenuis, Tellina sinuosa"
"Obelia dichotoma","S2",NA,"Campanularia brasiliensis, Campanularia caulini, Campanularia cavolinii, Campanularia cheloniae, Campanularia dichotoma, Campanularia maior, Campanularia obtusidens, Eucope articulata, Eucope parasitica, Gonothyraea integra, Laomedea dichotoma, Laomedea divaricata, Laomedea gracilis, Laomedea sargassi, Obelia Adelungi, Obelia alternata, Obelia angulosa, Obelia arruensis, Obelia articulata, Obelia australis, Obelia biserialis, Obelia borealis, Obelia braziliensis, Obelia cheloniae, Obelia chinensis, Obelia commissuralis, Obelia congdoni, Obelia coughtreyi, Obelia dubia, Obelia equilateralis, Obelia everta, Obelia fragilis, Obelia gracilis, Obelia griffini, Obelia helgolandica, Obelia nigrocaulus, Obelia nodosa, Obelia obtusidens, Obelia plicata, Obelia pygmaea, Obelia racemosa, Obelia rhunicola, Obelia sinuosa, Obelia solowetzkiana, Obelia surcularis, Obelia undotheca, Schizocladium ramosum, Sertularia dichotoma"
"Euchlanis dilatata","S2",NA,NA
"Ansanella granifera","S2",NA,""
"Ramalina intermedia","S2",NA,NA
"Aeolidia papillosa","S2",NA,"Aeolidia papillosa var. pacifica, Aeolidiella papillosa, Aeolis lesliana, Aeolis murrayana, Doris bodoensis, Doris vermigera, Eolis farinacea, Eolis obtusalis, Eolis papillosa, Eolis plumata, Eolis rosea, Limax papillosus"
"Pisaster brevispinus","S2",NA,"Asterias brevispina, Asterias papulosa, Asterias paucispina, Pisaster brevispinus f. paucispina, Pisaster papulosus, Pisaster paucispinus"
"Pinnixa faba","S2",NA,""
"Farlowia conferta","S2",NA,"Leptocladia conferta"
"Heterosigma akashiwo","S2",NA,"Chattonella akashiwo, Chattonella inlandica, Entomosigma akashiwo, Heterosigma carterae, Heterosigma inlandica, Olisthodiscus carterae"
"Fredericqia chiton","S2",NA,"Actinococcus chiton, Gymnogongrus chiton"
"Dictyocha speculum","N",NA,""
"Phyllochaetopterus prolifica","N",NA,"Phyllochaetopterus pacifica"
"Paranthus rapiformis","N",NA,"Actinia rapiformis, Ammophilactis rapiformis, Paractis rapiformis"
"Micrometrus minimus","N",NA,"Cymatogaster minimus, Holconotus trowbridgei, Holconotus trowbridgii"
"Micrura verrilli","N",NA,"Lineus striatus"
"Hexagrammos lagocephalus","N",NA,"Chirus balias, Chirus pictus, Hexagrammos superciliosus, Hexagrammus scaber, Labrax lagocephalus, Labrax superciliosus, Lebius superciliosus"
"Petrolisthes eriomerus","N",NA,""
"Microtus californicus","N",NA,NA
"Farlowia compressa","N",NA,""
"Lepidozona radians","N",NA,"Ischnochiton radians"
"Ectocarpus siliculosus","N",NA,"Ceramium confervoides, Ceramium confervoides var. ferrugineum, Ceramium siliculosum, Ceramium siliculosum var. atrovirens, Ceramium siliculosum var. ferrugineum, Ceramium siliculosum var. nebulosum, Colophermum floccosum, Conferva siliculosa, Ectocarpus confervoides, Ectocarpus confervoides f. arctus, Ectocarpus confervoides f. irregularis, Ectocarpus confervoides f. siliculosus, Ectocarpus confervoides f. spalatinus, Ectocarpus confervoides var. arctus, Ectocarpus confervoides var. brumalis, Ectocarpus confervoides var. siliculosus, Ectocarpus hansteeni, Ectocarpus hiemalis f. spalatinus, Ectocarpus nebulosus, Ectocarpus siliculosus f. fluviatilis, Ectocarpus siliculosus f. nebulosa, Ectocarpus siliculosus var. atrovirens, Ectocarpus siliculosus var. caespitosus, Ectocarpus siliculosus var. confervoides, Ectocarpus siliculosus var. ferrugineus, Ectocarpus siliculosus var. nebulosus, Ectocarpus siliculosus var. siliculosus, Ectocarpus sliculosus"
"Crepidula norrisiarum","N",NA,"Crepidula rugosa var. norrisiarum"
"Deroceras reticulatum","N",NA,NA
"Nuttallina californica","N",NA,"Chiton californicus, Chiton scaber, Nuttallina scabra"
"Schimmelmannia plumosa","N",NA,"Baylesia plumosa"
"Phycodrys isabellae","N",NA,""
"Hymenena kylinii","N",NA,""
"Oxylebius pictus","N",NA,""
"Phacellophora camtschatica","N",NA,"Callinema ornata, Cyanea ambiguum, Phacellophora sicula"
"Bangia fuscopurpurea","N",NA,"Bangia arctica, Bangia atropurpurea f. fuscopurpurea, Bangia atropurpurea subsp. fuscopurpurea, Bangia atropurpurea var. fuscopurpurea, Bangia bidentata, Bangia compacta, Bangia coruscans, Bangia crispa, Bangia fuscopurpurea f. crispa, Bangia fuscopurpurea f. lejolisii, Bangia fuscopurpurea var. coruscans, Bangia fuscopurpurea var. crispa, Bangia fuscopurpurea var. fuscascens, Bangia fuscopurpurea var. lejolisii, Bangia fuscopurpurea var. pumila, Bangia fuscopurpurea var. purpurea, Bangia fuscopurpurea var. sicula, Bangia globifera, Bangia jadertina, Bangia lejolisii, Bangia lutea, Bangia martialis, Bangia pallescens, Bangia pallida, Bangia pumila, Bangia sicula, Bangia subaequalis, Bangia tenuissima, Bangia tristis, Bangia versicolor, Bangia versicolor var. borealis, Bangia versicolor var. mediterranea, Bangia virescens, Bangiella crispa, Bangiella fuscopurpurea, Conferva fuscopurpurea, Conferva trichodes, Diadenus crispus, Diadenus fuscopurpureus, Diadenus luteus, Diadenus pallescens, Diadenus pallidus, Diadenus subaequalis, Diadenus tenuissimus, Girardia fuscopurpurea, Lyngbya fuscopurpurea, Phyllona pumila, Porphyra fuscopurpurea, Porphyra lejolisii, Porphyra pumila"
"Aaptos nuda","N",NA,"Trachya nuda"
"Nucella ostrina","N",NA,"Purpura ostrina, Thais emarginata var. projecta"
"Laminaria setchellii","N",NA,"Hafgygia andersonii, Laminaria andersonii"
"Ophiopholis kennerlyi","N",NA,"Ophiopholis aculeata kennerlyi, Ophiopholis caryi, Ophiopholis caryii"
