"Sequencing_Sample_Name","Sample_Name","Location","Latitude","Longitude","CRS","Date","Time","TimeZone","T","S"
"CO1_H5.1021.b.S40.L001","1021.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_H6.1021.c.S48.L001","1021.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_F10.1035.a.S78.L001","1035.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","13:30","UTC−08:00",14.6,33.1
"CO1_H2.1013.b.S16.L001","1013.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_E11.1034.b.S83.L001","1034.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","12:30","UTC−08:00",13.7,33.2
"CO1_2.F1.1041.a.S98.L001","1041.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_D9.1025.c.S68.L001","1025.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_H3.1013.c.S24.L001","1013.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_D8.1025.b.S60.L001","1025.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_G9.1028.c.S71.L001","1028.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","12:00","UTC−08:00",13.2,33
"CO1_2.F2.1041.b.S106.L001","1041.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_H4.1021.a.S32.L001","1021.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_H1.1013.a.S8.L001","1013.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_B5.1015.b.S34.L001","1015.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","15:30","UTC−08:00",14.5,33.1
"CO1_G7.1028.a.S55.L001","1028.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","12:00","UTC−08:00",13.2,33
"CO1_G3.1012.c.S23.L001","1012.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_2.H6.1051.c.S140.L001","1051.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","16:00","UTC−08:00",13.7,33.1
"CO1_2.H4.1051.a.S124.L001","1051.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","16:00","UTC−08:00",13.7,33.1
"CO1_F11.1035.b.S84.L001","1035.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","13:30","UTC−08:00",14.6,33.1
"CO1_H7.1029.a.S56.L001","1029.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_G2.1012.b.S15.L001","1012.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_G8.1028.b.S63.L001","1028.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","12:00","UTC−08:00",13.2,33
"CO1_2.F4.1049.a.S122.L001","1049.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_2.H5.1051.b.S132.L001","1051.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","16:00","UTC−08:00",13.7,33.1
"CO1_E10.1034.a.S77.L001","1034.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","12:30","UTC−08:00",13.7,33.2
"CO1_B4.1015.a.S26.L001","1015.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","15:30","UTC−08:00",14.5,33.1
"CO1_D7.1025.a.S52.L001","1025.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_2.F5.1049.b.S130.L001","1049.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_2.D8.1055.b.S152.L001","1055.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","13:00","UTC−08:00",15.2,32.8
"CO1_2.D9.1055.c.S160.L001","1055.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","13:00","UTC−08:00",15.2,32.8
"CO1_2.F3.1041.c.S114.L001","1041.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_2.D7.1055.a.S144.L001","1055.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","13:00","UTC−08:00",15.2,32.8
"CO1_G1.1012.a.S7.L001","1012.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","17:00","UTC−08:00",12.9,33.2
"CO1_2.F7.1057.a.S146.L001","1057.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","16:30","UTC−08:00",13.3,33.2
"CO1_2.F8.1057.b.S154.L001","1057.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","16:30","UTC−08:00",13.3,33.2
"CO1_2.F9.1057.c.S162.L001","1057.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","16:30","UTC−08:00",13.3,33.2
"CO1_2.G7.1058.a.S147.L001","1058.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","15:00","UTC−08:00",15.4,33
"CO1_2.G8.1058.b.S155.L001","1058.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","15:00","UTC−08:00",15.4,33
"CO1_2.G9.1058.c.S163.L001","1058.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","15:00","UTC−08:00",15.4,33
"CO1_H8.1029.b.S64.L001","1029.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_H9.1029.c.S72.L001","1029.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_B6.1015.c.S42.L001","1015.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","15:30","UTC−08:00",14.5,33.1
"CO1_2.A11.1060.b.S170.L001","1060.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:30","UTC−08:00",15,33.1
"CO1_2.A12.1060.c.S176.L001","1060.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:30","UTC−08:00",15,33.1
