"","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU"
"forward_CO1_3","","","","","","","","forward_CO1_3"
"forward_CO1_4","","","","","","","","forward_CO1_4"
"forward_CO1_5","","","","","","","","forward_CO1_5"
"forward_CO1_6","","","","","","","","forward_CO1_6"
"forward_CO1_7","","","","","","","","forward_CO1_7"
"forward_CO1_8","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_8"
"forward_CO1_9","","","","","","","","forward_CO1_9"
"forward_CO1_11","","","","","","","","forward_CO1_11"
"forward_CO1_12","","","","","","","","forward_CO1_12"
"forward_CO1_14","","","","","","","","forward_CO1_14"
"forward_CO1_15","","","","","","","","forward_CO1_15"
"forward_CO1_16","","","","","","","","forward_CO1_16"
"forward_CO1_17","Eukaryota_2759","phylum_Dinophyceae_2864","Dinophyceae_2864","Gymnodiniales_2953","Gymnodiniaceae_66801","Nusuttodinium_1610577","Nusuttodinium poecilochroum_891395","forward_CO1_17"
"forward_CO1_18","","","","","","","","forward_CO1_18"
"forward_CO1_20","","","","","","","","forward_CO1_20"
"forward_CO1_21","","","","","","","","forward_CO1_21"
"forward_CO1_22","","","","","","","","forward_CO1_22"
"forward_CO1_23","","","","","","","","forward_CO1_23"
"forward_CO1_24","","","","","","","","forward_CO1_24"
"forward_CO1_25","Eukaryota_2759","Arthropoda_6656","Malacostraca_6681","Amphipoda_6821","Hyalidae_199478","Protohyale_1305614","Protohyale frequens_1305615","forward_CO1_25"
"forward_CO1_26","","","","","","","","forward_CO1_26"
"forward_CO1_27","Eukaryota_2759","Chordata_7711","Actinopteri_186623","Perciformes_8111","Cottidae_8092","Scorpaenichthys_52272","Scorpaenichthys marmoratus_52273","forward_CO1_27"
"forward_CO1_28","Eukaryota_2759","Arthropoda_6656","Malacostraca_6681","Decapoda_6683","Epialtidae_516942","Pugettia_27407","Pugettia producta_504418","forward_CO1_28"
