"sample_name","sample_title","sample_control","specific_intertidal_location","temperature","salinity","geodeticDatum","lat_lon","collection_date","collection_date_local","unique_sample_identifier","depth","size_frac","samp_vol_we_dna_ext","organism","env_broad_scale","env_local_scale","env_medium","geo_loc_name","samp_mat_process","samp_collect_device","amplicon_sequenced","sample_storage_duration","sample_storage_location","sample_storage_temperature"
"CO1_C10.1032.a.EB.S75.L001","Extraction blank 1032.a","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1032.a","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_2.E11.1064.b.EB.S174.L001","Extraction blank 1064.b","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1064.b","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_2.E12.1064.c.EB.S180.L001","Extraction blank 1064.c","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1064.c","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_2.E10.1064.a.EB.S169.L001","Extraction blank 1064.a","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1064.a","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_2.E4.1048.a.EB.S121.L001","Extraction blank 1048.a","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1048.a","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_2.E5.1048.b.EB.S129.L001","Extraction blank 1048.b","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1048.b","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_2.E6.1048.c.EB.S137.L001","Extraction blank 1048.c","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1048.c","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_C6.1016.c.EB.S43.L001","Extraction blank 1016.c","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1016.c","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_C5.1016.b.EB.S35.L001","Extraction blank 1016.b","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1016.b","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_C11.1032.b.EB.S81.L001","Extraction blank 1032.b","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1032.b","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_C4.1016.a.EB.S27.L001","Extraction blank 1016.a","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1016.a","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_C12.1032.c.EB.S88.L001","Extraction blank 1032.c","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1032.c","not applicable","not applicable","not applicable","metagenome","not applicable","not applicable","not applicable","not applicable","DNA extraction from a sterile Sterivex: dx.doi.org/10.17504/protocols.io.ewov1qyyygr2/v1","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_A6.1014.c.FB.S41.L001","MilliQ water field blank 1014.c","control","not applicable","not applicable","not applicable","not applicable","not applicable","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1014.c","not applicable","0.22 micrometer","1000 mL","metagenome","not applicable","not applicable","not applicable","not applicable","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_A4.1014.a.FB.S25.L001","MilliQ water field blank 1014.a","control","not applicable","not applicable","not applicable","not applicable","not applicable","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1014.a","not applicable","0.22 micrometer","1000 mL","metagenome","not applicable","not applicable","not applicable","not applicable","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_A5.1014.b.FB.S33.L001","MilliQ water field blank 1014.b","control","not applicable","not applicable","not applicable","not applicable","not applicable","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1014.b","not applicable","0.22 micrometer","1000 mL","metagenome","not applicable","not applicable","not applicable","not applicable","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.D1.1039.a.FB.S96.L001","MilliQ water field blank 1039.a","control","not applicable","not applicable","not applicable","not applicable","not applicable","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1039.a","not applicable","0.22 micrometer","1000 mL","metagenome","not applicable","not applicable","not applicable","not applicable","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.D3.1039.c.FB.S112.L001","MilliQ water field blank 1039.c","control","not applicable","not applicable","not applicable","not applicable","not applicable","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1039.c","not applicable","0.22 micrometer","1000 mL","metagenome","not applicable","not applicable","not applicable","not applicable","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.D2.1039.b.FB.S104.L001","MilliQ water field blank 1039.b","control","not applicable","not applicable","not applicable","not applicable","not applicable","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1039.b","not applicable","0.22 micrometer","1000 mL","metagenome","not applicable","not applicable","not applicable","not applicable","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.H11.1071.2.S175.L001","Custom mock community sample 1071.2","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1071.2","not applicable","not applicable","not applicable","synthetic metagenome","not applicable","not applicable","not applicable","not applicable","Mock community from equimolar combination of 5 tisue DNA extraction: Mytilus edulis, Mizuhopecten yessoensis, Xiphias gladius, Mercenaria mercenaria, Lutjanus campechanus","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_H11.1071.1.S85.L001","Custom mock community sample 1071.1","control","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","1071.1","not applicable","not applicable","not applicable","synthetic metagenome","not applicable","not applicable","not applicable","not applicable","Mock community from equimolar combination of 5 tisue DNA extraction: Mytilus edulis, Mizuhopecten yessoensis, Xiphias gladius, Mercenaria mercenaria, Lutjanus campechanus","not applicable","COI","not applicable","not applicable","not applicable"
"CO1_E5.1018.b.S37.L001","Pillar Point intertidal seawater sample 1018.b","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1018.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_F10.1035.a.S78.L001","Pillar Point intertidal seawater sample 1035.a","sample","N","14.6 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T21:30:00Z","2022-01-28T13:30:00PST","1035.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_E4.1018.a.S29.L001","Pillar Point intertidal seawater sample 1018.a","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1018.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H4.1021.a.S32.L001","Pillar Point intertidal seawater sample 1021.a","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1021.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
