"","Species","GBIFSpecies","PillarPointOccurrence","CCSOccurrence","Range","NoData","NotInGBIF"
"1","Mazzaella splendens","Mazzaella splendens",TRUE,TRUE,TRUE,FALSE,FALSE
"2","Nusuttodinium poecilochroum","Nusuttodinium poecilochroum",FALSE,FALSE,TRUE,FALSE,FALSE
"3","Protohyale frequens","Protohyale frequens",FALSE,TRUE,TRUE,FALSE,FALSE
"4","Scorpaenichthys marmoratus","Scorpaenichthys marmoratus",TRUE,TRUE,TRUE,FALSE,FALSE
"5","Pugettia producta","Pugettia producta",TRUE,TRUE,TRUE,FALSE,FALSE
"6","Aglaophenia struthionides","Aglaophenia struthionides",FALSE,TRUE,TRUE,FALSE,FALSE
"7","Bossiella frondescens","Bossiella frondescens",FALSE,TRUE,TRUE,FALSE,FALSE
"8","Bossiella dichotoma","Bossiella orbigniana",FALSE,TRUE,TRUE,FALSE,FALSE
"9","Micromonas pusilla","Micromonas pusilla",FALSE,TRUE,TRUE,FALSE,FALSE
"10","Corallina confusa","Corallina confusa",FALSE,FALSE,FALSE,FALSE,FALSE
"11","Chloroparvula pacifica",NA,NA,NA,NA,NA,TRUE
"12","Leathesia difformis","Leathesia difformis",FALSE,FALSE,TRUE,FALSE,FALSE
"13","Bossiella hakaiensis",NA,NA,NA,NA,NA,TRUE
"14","Acrochaetium plumosum","Acrochaetium plumosum",FALSE,TRUE,TRUE,FALSE,FALSE
"15","Naineris dendritica CMC01","Naineris dendritica",FALSE,TRUE,TRUE,FALSE,FALSE
"16","Calliarthron tuberculosum","Calliarthron tuberculosum",TRUE,TRUE,TRUE,FALSE,FALSE
"17","Smithora naiadum","Smithora naiadum",TRUE,TRUE,TRUE,FALSE,FALSE
"18","Mazzaella flaccida","Mazzaella flaccida",TRUE,TRUE,TRUE,FALSE,FALSE
"19","Gelidium coulteri","Gelidium coulteri",FALSE,TRUE,TRUE,FALSE,FALSE
"20","Cebidichthys violaceus","Cebidichthys violaceus",TRUE,TRUE,TRUE,FALSE,FALSE
"21","Chondracanthus canaliculatus","Chondracanthus canaliculatus",TRUE,TRUE,TRUE,FALSE,FALSE
"22","Bossiella plumosa","Bossiella plumosa",FALSE,TRUE,TRUE,FALSE,FALSE
"23","Peyssonnelia rosenvingei","Peyssonnelia rosenvingei",FALSE,FALSE,TRUE,FALSE,FALSE
"24","Pseudochattonella verruculosa","Pseudochattonella verruculosa",FALSE,FALSE,TRUE,FALSE,FALSE
"25","Strongylocentrotus purpuratus","Strongylocentrotus purpuratus",TRUE,TRUE,TRUE,FALSE,FALSE
"26","Doryteuthis opalescens","Doryteuthis opalescens",FALSE,TRUE,TRUE,FALSE,FALSE
"27","Ophlitaspongia papilla","Ophlitaspongia papilla",FALSE,FALSE,FALSE,FALSE,FALSE
"28","Tubulanus sexlineatus","Tubulanus sexlineatus",TRUE,TRUE,TRUE,FALSE,FALSE
"29","Corallophila eatoniana",NA,NA,NA,NA,NA,TRUE
"30","Emiliania huxleyi","Emiliania huxleyi",FALSE,TRUE,TRUE,FALSE,FALSE
"31","Neogastroclonium subarticulatum","Neogastroclonium subarticulatum",TRUE,TRUE,TRUE,FALSE,FALSE
"32","Platynereis bicanaliculata","Platynereis bicanaliculata",TRUE,TRUE,TRUE,FALSE,FALSE
"33","Bossiella reptans","Bossiella reptans",FALSE,FALSE,FALSE,FALSE,FALSE
"34","Rhodophysema lundii","Rhodophysema lundii",FALSE,FALSE,FALSE,FALSE,FALSE
"35","Phascolosoma agassizii","Phascolosoma agassizii",TRUE,TRUE,TRUE,FALSE,FALSE
"36","Mopalia muscosa","Mopalia muscosa",TRUE,TRUE,TRUE,FALSE,FALSE
"37","Parallorchestes cowani","Parallorchestes cowani",FALSE,FALSE,TRUE,FALSE,FALSE
"38","Prionitis lanceolata","Prionitis lanceolata",TRUE,TRUE,TRUE,FALSE,FALSE
"39","Nereis vexillosa","Nereis vexillosa",FALSE,TRUE,TRUE,FALSE,FALSE
"40","Myrionema balticum","Myrionema balticum",FALSE,TRUE,TRUE,FALSE,FALSE
"41","Myriotrichia claviformis","Myriotrichia claviformis",FALSE,FALSE,FALSE,FALSE,FALSE
"42","Callithamnion pikeanum","Callithamnion pikeanum",TRUE,TRUE,TRUE,FALSE,FALSE
"43","Corallina vancouveriensis","Corallina vancouveriensis",TRUE,TRUE,TRUE,FALSE,FALSE
"44","Halichondria panicea","Halichondria panicea",TRUE,TRUE,TRUE,FALSE,FALSE
"45","Anthopleura elegantissima","Anthopleura elegantissima",TRUE,TRUE,TRUE,FALSE,FALSE
"46","Cancer antennarius","Romaleon antennarium",TRUE,TRUE,TRUE,FALSE,FALSE
"47","Neorhodomela larix","Neorhodomela larix",TRUE,TRUE,TRUE,FALSE,FALSE
"48","Mazzaella minima","Mazzaella minima",FALSE,FALSE,FALSE,FALSE,FALSE
"49","Chondracanthus exasperatus","Chondracanthus exasperatus",TRUE,TRUE,TRUE,FALSE,FALSE
"50","Savoiea robusta","Savoiea robusta",FALSE,FALSE,TRUE,FALSE,FALSE
"51","Gibbonsia metzi","Gibbonsia metzi",TRUE,TRUE,TRUE,FALSE,FALSE
"52","Microspongium tenuissimum","Microspongium stilophorae",FALSE,FALSE,FALSE,FALSE,FALSE
"53","Osmundea spectabilis","Osmundea spectabilis",TRUE,TRUE,TRUE,FALSE,FALSE
"54","Naineris dendritica","Naineris dendritica",FALSE,TRUE,TRUE,FALSE,FALSE
"55","Hemimycale columella","Hemimycale columella",FALSE,FALSE,FALSE,FALSE,FALSE
"56","Biddulphia alternans","Amphipentas alternans",FALSE,FALSE,TRUE,FALSE,FALSE
"57","Ascidia ahodori","Ascidia ahodori",FALSE,FALSE,FALSE,FALSE,FALSE
"58","Mazzaella oregona","Mazzaella oregona",FALSE,TRUE,TRUE,FALSE,FALSE
"59","Cancer productus","Cancer productus",TRUE,TRUE,TRUE,FALSE,FALSE
"60","Pelagomonas calceolata",NA,NA,NA,NA,NA,TRUE
"61","Aureococcus anophagefferens","Aureococcus anophagefferens",FALSE,TRUE,TRUE,FALSE,FALSE
"62","Littorina plena","Littorina plena",FALSE,TRUE,TRUE,FALSE,FALSE
"63","Paracalliopiella pratti","Paracalliopiella pratti",FALSE,TRUE,FALSE,FALSE,FALSE
"64","Leptasterias aequalis","Leptasterias aequalis",FALSE,TRUE,TRUE,FALSE,FALSE
"65","Heterocapsa rotundata","Heterocapsa rotundata",FALSE,TRUE,TRUE,FALSE,FALSE
"66","Coryne eximia","Coryne eximia",FALSE,TRUE,TRUE,FALSE,FALSE
"67","Margalefidinium polykrikoides","Cochlodinium polykrikoides",FALSE,TRUE,TRUE,FALSE,FALSE
"68","Girella nigricans","Girella nigricans",FALSE,TRUE,TRUE,FALSE,FALSE
"69","Syllis alternata CMC04","Syllis alternata",FALSE,TRUE,TRUE,FALSE,FALSE
"70","Chthamalus dalli","Chthamalus dalli",TRUE,TRUE,TRUE,FALSE,FALSE
"71","Hecatonema maculans","Hecatonema terminale",FALSE,TRUE,TRUE,FALSE,FALSE
