NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: Pillar Point Harbor 
State: CA 
Stationid: 9414131
Prediction Type: Harmonic
From: 20220128 00:00 - 20220128 23:45
Units: Metric
Time Zone: LST_LDT
Datum: MLLW
Interval Type: 15 Minutes

Date 		Day	Time	Pred	
2022/01/28	Fri	00:00	0.87	
2022/01/28	Fri	00:15	0.88	
2022/01/28	Fri	00:30	0.89	
2022/01/28	Fri	00:45	0.91	
2022/01/28	Fri	01:00	0.94	
2022/01/28	Fri	01:15	0.97	
2022/01/28	Fri	01:30	1.00	
2022/01/28	Fri	01:45	1.05	
2022/01/28	Fri	02:00	1.09	
2022/01/28	Fri	02:15	1.15	
2022/01/28	Fri	02:30	1.20	
2022/01/28	Fri	02:45	1.27	
2022/01/28	Fri	03:00	1.33	
2022/01/28	Fri	03:15	1.40	
2022/01/28	Fri	03:30	1.46	
2022/01/28	Fri	03:45	1.53	
2022/01/28	Fri	04:00	1.60	
2022/01/28	Fri	04:15	1.66	
2022/01/28	Fri	04:30	1.72	
2022/01/28	Fri	04:45	1.77	
2022/01/28	Fri	05:00	1.82	
2022/01/28	Fri	05:15	1.86	
2022/01/28	Fri	05:30	1.90	
2022/01/28	Fri	05:45	1.93	
2022/01/28	Fri	06:00	1.94	
2022/01/28	Fri	06:15	1.95	
2022/01/28	Fri	06:30	1.95	
2022/01/28	Fri	06:45	1.94	
2022/01/28	Fri	07:00	1.92	
2022/01/28	Fri	07:15	1.88	
2022/01/28	Fri	07:30	1.84	
2022/01/28	Fri	07:45	1.79	
2022/01/28	Fri	08:00	1.73	
2022/01/28	Fri	08:15	1.65	
2022/01/28	Fri	08:30	1.57	
2022/01/28	Fri	08:45	1.49	
2022/01/28	Fri	09:00	1.39	
2022/01/28	Fri	09:15	1.29	
2022/01/28	Fri	09:30	1.19	
2022/01/28	Fri	09:45	1.08	
2022/01/28	Fri	10:00	0.96	
2022/01/28	Fri	10:15	0.85	
2022/01/28	Fri	10:30	0.73	
2022/01/28	Fri	10:45	0.62	
2022/01/28	Fri	11:00	0.51	
2022/01/28	Fri	11:15	0.41	
2022/01/28	Fri	11:30	0.30	
2022/01/28	Fri	11:45	0.21	
2022/01/28	Fri	12:00	0.13	
2022/01/28	Fri	12:15	0.05	
2022/01/28	Fri	12:30	-0.02	
2022/01/28	Fri	12:45	-0.08	
2022/01/28	Fri	13:00	-0.13	
2022/01/28	Fri	13:15	-0.17	
2022/01/28	Fri	13:30	-0.20	
2022/01/28	Fri	13:45	-0.21	
2022/01/28	Fri	14:00	-0.22	
2022/01/28	Fri	14:15	-0.22	
2022/01/28	Fri	14:30	-0.20	
2022/01/28	Fri	14:45	-0.18	
2022/01/28	Fri	15:00	-0.14	
2022/01/28	Fri	15:15	-0.09	
2022/01/28	Fri	15:30	-0.04	
2022/01/28	Fri	15:45	0.03	
2022/01/28	Fri	16:00	0.10	
2022/01/28	Fri	16:15	0.17	
2022/01/28	Fri	16:30	0.25	
2022/01/28	Fri	16:45	0.33	
2022/01/28	Fri	17:00	0.42	
2022/01/28	Fri	17:15	0.50	
2022/01/28	Fri	17:30	0.59	
2022/01/28	Fri	17:45	0.67	
2022/01/28	Fri	18:00	0.75	
2022/01/28	Fri	18:15	0.82	
2022/01/28	Fri	18:30	0.89	
2022/01/28	Fri	18:45	0.96	
2022/01/28	Fri	19:00	1.02	
2022/01/28	Fri	19:15	1.07	
2022/01/28	Fri	19:30	1.12	
2022/01/28	Fri	19:45	1.16	
2022/01/28	Fri	20:00	1.19	
2022/01/28	Fri	20:15	1.21	
2022/01/28	Fri	20:30	1.22	
2022/01/28	Fri	20:45	1.23	
2022/01/28	Fri	21:00	1.23	
2022/01/28	Fri	21:15	1.23	
2022/01/28	Fri	21:30	1.21	
2022/01/28	Fri	21:45	1.20	
2022/01/28	Fri	22:00	1.17	
2022/01/28	Fri	22:15	1.15	
2022/01/28	Fri	22:30	1.11	
2022/01/28	Fri	22:45	1.08	
2022/01/28	Fri	23:00	1.05	
2022/01/28	Fri	23:15	1.02	
2022/01/28	Fri	23:30	0.99	
2022/01/28	Fri	23:45	0.96	
