Time	Location	T	S
11:30	O	12.8	33.2
12:00	O	13.2	33
12:30	O	13.7	33.2
13:00	O	15.2	32.8
13:30	O	14.6	33.1
14:00	O	15.9	33.1
14:30	O	15	33.1
15:00	O	15.4	33
15:30	O	14.5	33.1
16:00	O	13.7	33.1
16:30	O	13.3	33.2
17:00	O	12.9	33.2
11:30	S1	14.3	33.2
12:00	S1	14.7	33
12:30	S1	14.9	32.7
13:00	S1	15.6	32.7
13:30	S1	15.9	32.9
14:00	S1	16	32.8
14:30	S1	16.2	33
15:00	S1	16.2	33.2
15:30	S1	16.4	32.9
16:00	S1	16.2	33.1
16:30	S1	15.8	33.1
17:00	S1	15.2	33.5
11:30	S2	13.4	33
12:00	S2	13.5	33
12:30	S2	14.1	33.5
13:00	S2	14.8	32.8
13:30	S2	15.1	32.6
14:00	S2	15.2	33.1
14:30	S2	15.9	32.8
15:00	S2	15.6	33
15:30	S2	15.3	32.9
16:00	S2	15.2	32.9
16:30	S2	15.1	33
17:00	S2	15.1	33.3
