Dereplicated_Sample_Name	Time 	Location	Extraction
1049	14:00	N	5
1050	15:00	S2	5
1051	16:00	N	5
1052	12:30	S2	5
1053	17:00	S1	5
1054	13:30	S1	5
1055	13:00	N	5
1056	14:30	S1	5
1057	16:30	N	5
1058	15:00	N	5
1059	12:30	S1	5
1060	14:30	N	5
1061	13:00	S2	5
1062	11:30	N 	5
1063	16:30	S2	5
1064	NA	EB	5
1033	17:00	S2	4
1034	12:30	N	4
1035	13:30	N	4
1036	14:00	S1 	4
1037	13:00	S1	4
1038	11:30	S2 	4
1039	11:30	FB	4
1040	11:30	S2 	4
1041	17:00	N	4
1042	15:30	S1	4
1043	15:30	S2	4
1044	11:30	S1 	4
1045	14:00	S2	4
1046	14:00	S1	4
1047	17:00	S1	4
1048	NA	EB	4
1017	16:00	S2	3
1018	14:00	N	3
1019	14:00	S2	3
1020	14:00	S2	3
1021	14:00	N	3
1022	13:30	S2	3
1023	11:30	S1 	3
1024	12:00	S1	3
1025	17:00	N	3
1026	16:30	S1	3
1027	12:00	S2 	3
1028	12:00	N	3
1029	11:30	N 	3
1030	11:30	S1 	3
1031	14:00	S1	3
1032	NA	EB	3
1006	15:00	S1	2
1007	17:00	S2	2
1008	17:00	S2	2
1009	17:00	S1	2
1010	14:30	S2	2
1011	11:30	S2 	2
1012	17:00	N	2
1013	11:30	N 	2
1014	17:00	FB	2
1015	15:30	N	2
1016	NA	EB	2
1071	NA	MC	NA
NTC	NA	NTC	NA
