	Sample_Name	Dereplicated_Sample_Name	Type	PCR
CO1_2.A1.1036.a.S93.L001	1036.a	1036	sample	2
CO1_2.A10.1060.a.S165.L001	1060.a	1060	sample	2
CO1_2.A11.1060.b.S170.L001	1060.b	1060	sample	2
CO1_2.A12.1060.c.S176.L001	1060.c	1060	sample	2
CO1_2.A2.1036.b.S101.L001	1036.b	1036	sample	2
CO1_2.A3.1036.c.S109.L001	1036.c	1036	sample	2
CO1_2.A4.1044.a.S117.L001	1044.a	1044	sample	2
CO1_2.A5.1044.b.S125.L001	1044.b	1044	sample	2
CO1_2.A6.1044.c.S133.L001	1044.c	1044	sample	2
CO1_2.A7.1052.a.S141.L001	1052.a	1052	sample	2
CO1_2.A8.1052.b.S149.L001	1052.b	1052	sample	2
CO1_2.A9.1052.c.S157.L001	1052.c	1052	sample	2
CO1_2.B1.1037.a.S94.L001	1037.a	1037	sample	2
CO1_2.B10.1061.a.S166.L001	1061.a	1061	sample	2
CO1_2.B11.1061.b.S171.L001	1061.b	1061	sample	2
CO1_2.B12.1061.c.S177.L001	1061.c	1061	sample	2
CO1_2.B2.1037.b.S102.L001	1037.b	1037	sample	2
CO1_2.B3.1037.c.S110.L001	1037.c	1037	sample	2
CO1_2.B4.1045.a.S118.L001	1045.a	1045	sample	2
CO1_2.B5.1045.b.S126.L001	1045.b	1045	sample	2
CO1_2.B6.1045.c.S134.L001	1045.c	1045	sample	2
CO1_2.B7.1053.a.S142.L001	1053.a	1053	sample	2
CO1_2.B8.1053.b.S150.L001	1053.b	1053	sample	2
CO1_2.B9.1053.c.S158.L001	1053.c	1053	sample	2
CO1_2.C1.1038.a.S95.L001	1038.a	1038	sample	2
CO1_2.C10.1062.a.S167.L001	1062.a	1062	sample	2
CO1_2.C11.1062.b.S172.L001	1062.b	1062	sample	2
CO1_2.C12.1062.c.S178.L001	1062.c	1062	sample	2
CO1_2.C2.1038.b.S103.L001	1038.b	1038	sample	2
CO1_2.C3.1038.c.S111.L001	1038.c	1038	sample	2
CO1_2.C4.1046.a.S119.L001	1046.a	1046	sample	2
CO1_2.C5.1046.b.S127.L001	1046.b	1046	sample	2
CO1_2.C6.1046.c.S135.L001	1046.c	1046	sample	2
CO1_2.C7.1054.a.S143.L001	1054.a	1054	sample	2
CO1_2.C8.1054.b.S151.L001	1054.b	1054	sample	2
CO1_2.C9.1054.c.S159.L001	1054.c	1054	sample	2
CO1_2.D1.1039.a.FB.S96.L001	1039.a	1039	control	2
CO1_2.D10.1063.a.S168.L001	1063.a	1063	sample	2
CO1_2.D11.1063.b.S173.L001	1063.b	1063	sample	2
CO1_2.D12.1063.c.S179.L001	1063.c	1063	sample	2
CO1_2.D2.1039.b.FB.S104.L001	1039.b	1039	control	2
