"","Sample","Dereplicated_Sample_Name","X","Sample_Name","Type","PCR","Time","Location","Extraction","T","S","SiteByTime","chart_num"
"1","CO1_A1.1006.a.S1.L001","1006","CO1_A1.1006.a.S1.L001","1006.a","sample","1","15:00","S1","2",16.2,33.2,"S1 15:00","1"
"2","CO1_A3.1006.c.S17.L001","1006","CO1_A3.1006.c.S17.L001","1006.c","sample","1","15:00","S1","2",16.2,33.2,"S1 15:00","1"
"3","CO1_A2.1006.b.S9.L001","1006","CO1_A2.1006.b.S9.L001","1006.b","sample","1","15:00","S1","2",16.2,33.2,"S1 15:00","1"
"4","CO1_B3.1007.c.S18.L001","1007","CO1_B3.1007.c.S18.L001","1007.c","sample","1","17:00","S2","2",15.1,33.3,"S2 17:00","1"
"5","CO1_B1.1007.a.S2.L001","1007","CO1_B1.1007.a.S2.L001","1007.a","sample","1","17:00","S2","2",15.1,33.3,"S2 17:00","1"
"6","CO1_B2.1007.b.S10.L001","1007","CO1_B2.1007.b.S10.L001","1007.b","sample","1","17:00","S2","2",15.1,33.3,"S2 17:00","1"
"7","CO1_C1.1008.a.S3.L001","1008","CO1_C1.1008.a.S3.L001","1008.a","sample","1","17:00","S2","2",15.1,33.3,"S2 17:00","2"
"8","CO1_C3.1008.c.S19.L001","1008","CO1_C3.1008.c.S19.L001","1008.c","sample","1","17:00","S2","2",15.1,33.3,"S2 17:00","2"
"9","CO1_C2.1008.b.S11.L001","1008","CO1_C2.1008.b.S11.L001","1008.b","sample","1","17:00","S2","2",15.1,33.3,"S2 17:00","2"
"10","CO1_D1.1009.a.S4.L001","1009","CO1_D1.1009.a.S4.L001","1009.a","sample","1","17:00","S1","2",15.2,33.5,"S1 17:00","1"
"11","CO1_D3.1009.c.S20.L001","1009","CO1_D3.1009.c.S20.L001","1009.c","sample","1","17:00","S1","2",15.2,33.5,"S1 17:00","1"
"12","CO1_D2.1009.b.S12.L001","1009","CO1_D2.1009.b.S12.L001","1009.b","sample","1","17:00","S1","2",15.2,33.5,"S1 17:00","1"
"13","CO1_E3.1010.c.S21.L001","1010","CO1_E3.1010.c.S21.L001","1010.c","sample","1","14:30","S2","2",15.9,32.8,"S2 14:30","1"
"14","CO1_E1.1010.a.S5.L001","1010","CO1_E1.1010.a.S5.L001","1010.a","sample","1","14:30","S2","2",15.9,32.8,"S2 14:30","1"
"15","CO1_E2.1010.b.S13.L001","1010","CO1_E2.1010.b.S13.L001","1010.b","sample","1","14:30","S2","2",15.9,32.8,"S2 14:30","1"
"16","CO1_F1.1011.a.S6.L001","1011","CO1_F1.1011.a.S6.L001","1011.a","sample","1","11:30","S2","2",13.4,33,"S2 11:30","1"
"17","CO1_F3.1011.c.S22.L001","1011","CO1_F3.1011.c.S22.L001","1011.c","sample","1","11:30","S2","2",13.4,33,"S2 11:30","1"
"18","CO1_F2.1011.b.S14.L001","1011","CO1_F2.1011.b.S14.L001","1011.b","sample","1","11:30","S2","2",13.4,33,"S2 11:30","1"
"19","CO1_G1.1012.a.S7.L001","1012","CO1_G1.1012.a.S7.L001","1012.a","sample","1","17:00","N","2",12.9,33.2,"N 17:00","1"
"20","CO1_G2.1012.b.S15.L001","1012","CO1_G2.1012.b.S15.L001","1012.b","sample","1","17:00","N","2",12.9,33.2,"N 17:00","1"
"21","CO1_G3.1012.c.S23.L001","1012","CO1_G3.1012.c.S23.L001","1012.c","sample","1","17:00","N","2",12.9,33.2,"N 17:00","1"
"22","CO1_H1.1013.a.S8.L001","1013","CO1_H1.1013.a.S8.L001","1013.a","sample","1","11:30","N","2",12.8,33.2,"N 11:30","1"
"23","CO1_H3.1013.c.S24.L001","1013","CO1_H3.1013.c.S24.L001","1013.c","sample","1","11:30","N","2",12.8,33.2,"N 11:30","1"
"24","CO1_H2.1013.b.S16.L001","1013","CO1_H2.1013.b.S16.L001","1013.b","sample","1","11:30","N","2",12.8,33.2,"N 11:30","1"
"25","CO1_B4.1015.a.S26.L001","1015","CO1_B4.1015.a.S26.L001","1015.a","sample","1","15:30","N","2",14.5,33.1,"N 15:30","1"
"26","CO1_B5.1015.b.S34.L001","1015","CO1_B5.1015.b.S34.L001","1015.b","sample","1","15:30","N","2",14.5,33.1,"N 15:30","1"
"27","CO1_B6.1015.c.S42.L001","1015","CO1_B6.1015.c.S42.L001","1015.c","sample","1","15:30","N","2",14.5,33.1,"N 15:30","1"
"28","CO1_D6.1017.c.S44.L001","1017","CO1_D6.1017.c.S44.L001","1017.c","sample","1","16:00","S2","3",15.2,32.9,"S2 16:00","1"
"29","CO1_D5.1017.b.S36.L001","1017","CO1_D5.1017.b.S36.L001","1017.b","sample","1","16:00","S2","3",15.2,32.9,"S2 16:00","1"
"30","CO1_D4.1017.a.S28.L001","1017","CO1_D4.1017.a.S28.L001","1017.a","sample","1","16:00","S2","3",15.2,32.9,"S2 16:00","1"
"31","CO1_E4.1018.a.S29.L001","1018","CO1_E4.1018.a.S29.L001","1018.a","sample","1","14:00","N","3",15.9,33.1,"N 14:00","1"
"32","CO1_E5.1018.b.S37.L001","1018","CO1_E5.1018.b.S37.L001","1018.b","sample","1","14:00","N","3",15.9,33.1,"N 14:00","1"
"33","CO1_E6.1018.c.S45.L001","1018","CO1_E6.1018.c.S45.L001","1018.c","sample","1","14:00","N","3",15.9,33.1,"N 14:00","1"
"34","CO1_F5.1019.b.S38.L001","1019","CO1_F5.1019.b.S38.L001","1019.b","sample","1","14:00","S2","3",15.2,33.1,"S2 14:00","1"
"35","CO1_F6.1019.c.S46.L001","1019","CO1_F6.1019.c.S46.L001","1019.c","sample","1","14:00","S2","3",15.2,33.1,"S2 14:00","1"
"36","CO1_F4.1019.a.S30.L001","1019","CO1_F4.1019.a.S30.L001","1019.a","sample","1","14:00","S2","3",15.2,33.1,"S2 14:00","1"
"37","CO1_G4.1020.a.S31.L001","1020","CO1_G4.1020.a.S31.L001","1020.a","sample","1","14:00","S2","3",15.2,33.1,"S2 14:00","2"
"38","CO1_G5.1020.b.S39.L001","1020","CO1_G5.1020.b.S39.L001","1020.b","sample","1","14:00","S2","3",15.2,33.1,"S2 14:00","2"
"39","CO1_G6.1020.c.S47.L001","1020","CO1_G6.1020.c.S47.L001","1020.c","sample","1","14:00","S2","3",15.2,33.1,"S2 14:00","2"
"40","CO1_H4.1021.a.S32.L001","1021","CO1_H4.1021.a.S32.L001","1021.a","sample","1","14:00","N","3",15.9,33.1,"N 14:00","2"
"41","CO1_H5.1021.b.S40.L001","1021","CO1_H5.1021.b.S40.L001","1021.b","sample","1","14:00","N","3",15.9,33.1,"N 14:00","2"
"42","CO1_H6.1021.c.S48.L001","1021","CO1_H6.1021.c.S48.L001","1021.c","sample","1","14:00","N","3",15.9,33.1,"N 14:00","2"
