"","Phylum","Reads","ASVs","Species","Reads_Percent","ASVs_Percent","Species_Percent"
"3","Rhodophyta_2763",532203,615,97,"36.77767%","20.847%","23.37%"
"1","Chlorophyta_3041",276017,189,6,"19.07404%","6.407%","1.45%"
"2","phylum_Dinophyceae_2864",169579,120,8,"11.71869%","4.068%","1.93%"
"6","Arthropoda_6656",136328,423,48,"9.42089%","14.339%","11.57%"
"4","Chordata_7711",81310,173,39,"5.61889%","5.864%","9.40%"
"7","Annelida_6340",74621,477,50,"5.15665%","16.169%","12.05%"
"5","Cnidaria_6073",62818,153,22,"4.34101%","5.186%","5.30%"
"8","phylum_Phaeophyceae_2870",42314,144,24,"2.92409%","4.881%","5.78%"
"9","Mollusca_6447",28102,267,43,"1.94198%","9.051%","10.36%"
"10","Echinodermata_7586",13406,90,14,"0.92642%","3.051%","3.37%"
"12","Porifera_6040",12900,114,20,"0.89145%","3.864%","4.82%"
"11","phylum_Dictyochophyceae_39119",4030,10,3,"0.27849%","0.339%","0.72%"
"13","Haptophyta_2830",4019,27,2,"0.27773%","0.915%","0.48%"
"15","phylum_Pelagophyceae_35675",3475,20,2,"0.24014%","0.678%","0.48%"
"14","Nemertea_6217",3095,23,7,"0.21388%","0.780%","1.69%"
"16","Bacillariophyta_2836",2101,51,15,"0.14519%","1.729%","3.61%"
"17","phylum_Bolidophyceae_91989",453,3,1,"0.03130%","0.102%","0.24%"
"18","Phoronida_120557",110,12,1,"0.00760%","0.407%","0.24%"
"20","Bryozoa_10205",83,12,2,"0.00574%","0.407%","0.48%"
"19","Oomycota_4762",55,8,1,"0.00380%","0.271%","0.24%"
"21","phylum_Raphidophyceae_38410",28,4,2,"0.00193%","0.136%","0.48%"
"23","Basidiomycota_5204",10,2,1,"0.00069%","0.068%","0.24%"
"24","Platyhelminthes_6157",10,4,1,"0.00069%","0.136%","0.24%"
"25","Ascomycota_4890",7,4,3,"0.00048%","0.136%","0.72%"
"22","Mucoromycota_1913637",2,2,0,"0.00014%","0.068%","0.00%"
"26","Discosea_555280",2,1,1,"0.00014%","0.034%","0.24%"
"27","Rotifera_10190",2,1,1,"0.00014%","0.034%","0.24%"
"28","phylum_Cryptophyceae_3027",2,1,1,"0.00014%","0.034%","0.24%"
